✔ SS

A1DL 마일3 어빈 토마스 휘리3 죠안나4 구스 아이멜 엘레노아3 섀넌 로디 아이다 아리아 레이첼3 팔만2 루티스 매드람4 루키어스 볼게이드3 = 164,000  ( 1번 )
17V 어빈 토마스2 휘리4 휘리전무 죠안나 구스5 아이멜 엘레노아 섀넌2 알토스3 뮤즈4 아이다2 사라2 가웨인 레이첼3 베리어스 팔만 미첼2 루키어스 볼게이드3 = 67,000  ( 119번 )
A1M6 어빈 토마스 휘리6 죠안나2 구스2 구스전무 아이멜 엘레노아2 섀넌3 로디2 뮤즈 사라 아리아 가웨인 레이첼5 베리어스2 팔만 루티스2 매드람 미첼 = 65,000  ( 120번 )
1AE 어빈 마일 게르드2 토마스 휘리3 구스3 아이멜2 엘레노아2 섀넌 알토스 뮤즈3 아이다2 사라2 아리아2 가웨인 베리어스3 팔만2 루티스5 매드람2 미첼4 루키어스 볼게이드 = 68,000  ( 121번 )
A1EI 어빈 휘리8 휘리전무 죠안나 구스3 아이멜3 엘레노아 섀넌 로디 뮤즈4 아이다2 사라 아리아3 가웨인 레이첼 베리어스 팔만3 루티스 매드람2 미첼2 = 67,000  ( 122번 )
172 어빈 토마스 휘리6 죠안나 구스3 아이멜 엘레노아3 섀넌2 스텔라 뮤즈2 아이다4 가웨인 레이첼 베리어스 팔만3 루티스 매드람2 루키어스 볼게이드 = 65,000  ( 123번 )
A16A 어빈 토마스 휘리6 죠안나 구스2 아이멜 엘레노아2 섀넌4 로디 뮤즈5 아이다 사라2 아리아 가웨인6 레이첼3 베리어스2 팔만2 루티스 매드람3 미첼 루키어스 마일전무 = 67,000  ( 124번 )
A1EA 어빈 게르드 휘리4 죠안나3 구스 아이멜4 엘레노아2 섀넌3 알토스 뮤즈4 사라 아리아 가웨인2 베리어스3 루티스2 미첼3 루키어스 볼게이드 = 64,000  ( 125번 )
198 마일 게르드 휘리5 죠안나 구스3 엘레노아3 섀넌4 로디 뮤즈2 아이다2 가웨인4 레이첼2 베리어스 팔만2 루티스 매드람 미첼3 루키어스 볼게이드6 아리아전무 = 65,000  ( 126번 )

17H 어빈 게르드2 게르드전무 휘리4 휘리전무 죠안나3 구스 아이멜 엘레노아3 섀넌2 뮤즈 아이다2 사라 아리아2 가웨인 레이첼2 베리어스3 팔만4 루티스 매드람 루키어스2 볼게이드3 = 63,000  ( 127번 )
A1MO 마일 마일전무2 토마스 휘리8 구스3 엘레노아3 알토스 뮤즈 아이다2 사라 아리아 가웨인4 레이첼 팔만 루티스 매드람 미첼4 루키어스2 볼게이드2 = 63,000  ( 128번 )
A1H3 마일 토마스 휘리5 휘리전무 죠안나4 구스2 엘레노아3 섀넌2 알토스 스텔라 로디 사라2 아리아4 가웨인 레이첼2 베리어스 팔만 루티스 매드람2 미첼2 루키어스 볼게이드3 = 61,000  ( 129번 )

A1FF 어빈 어빈전무 게르드 토마스 휘리4 죠안나3 구스2 아이멜3 엘레노아2 뮤즈2 아이다 아리아 레이첼5 루티스2 루티스전무 매드람 루키어스3 볼게이드 = 60,000  ( 130번 )
19U 어빈 마일 토마스 휘리5 구스5 아이멜2 섀넌 뮤즈3 아이다 아리아 가웨인3 팔만 루티스2 매드람 미첼 루키어스2 볼게이드 = 59,000  ( 131번 )
A1FE 어빈 마일 휘리2 휘리전무 죠안나4 구스4 아이멜 엘레노아4 섀넌 스텔라 뮤즈2 아이다3 사라3 아리아2 베리어스 팔만 매드람2 미첼2 루키어스 볼게이드3 = 60,000  ( 132번 )
A1HC 마일 토마스 휘리2 죠안나5 구스5 아이멜 엘레노아3 섀넌 뮤즈3 아이다2 사라4 아리아2 가웨인3 레이첼3 베리어스 팔만3 루티스2 매드람3 볼게이드 = 63,000  ( 133번 )
A1CU 마일 게르드2 휘리4 휘리전무2 죠안나 구스3 구스전무 아이멜 엘레노아 섀넌2 뮤즈 아이다 사라3 아리아5 가웨인2 레이첼 팔만5 루티스3 미첼2 루키어스 볼게이드4 = 61,000  ( 134번 )
A1JJ 마일 휘리6 휘리전무 죠안나 구스5 아이멜 엘레노아 섀넌2 스텔라 뮤즈 사라3 아리아2 레이첼2 루티스 매드람2 = 57,000  ( 135번 )
A1I8 마일 마일전무 게르드 휘리4 죠안나2 구스3 아이멜3 엘레노아 섀넌2 로디 아이다3 사라2 아리아 레이첼4 베리어스4 미첼 루키어스 볼게이드 = 59,000  ( 136번 )

181 어빈 게르드 토마스 휘리5 죠안나 구스4 아이멜3 알토스 스텔라 로디 뮤즈2 아이다3 아리아2 가웨인 레이첼4 베리어스 팔만 루티스3 미첼 루키어스 볼게이드 = 59,000  ( 137번 )
A1CY 어빈 마일 휘리5 죠안나 구스 아이멜5 엘레노아2 섀넌 로디2 뮤즈2 사라 아리아2 가웨인3 레이첼 베리어스 매드람2 미첼2 루키어스 볼게이드 = 57,000  ( 138번 )
A1ES 어빈 게르드 휘리4 죠안나 구스3 엘레노아4 섀넌3 로디 아이다 사라 가웨인3 레이첼4 베리어스 루티스3 매드람4 루키어스 볼게이드 마일전무2 = 57,000  ( 139번 )
A1J0 어빈 토마스2 휘리6 죠안나2 구스4 아이멜 뮤즈 아이다 사라4 가웨인2 베리어스2 팔만 매드람 미첼 루키어스 섀넌전무 = 56,000  ( 140번 )
A1FS 어빈 마일 휘리7 구스4 아이멜 엘레노아 섀넌 뮤즈2 아이다2 가웨인 베리어스2 팔만2 루티스 매드람2 루키어스3 = 56,000  ( 141번 )
A1E9 어빈 마일 휘리5 죠안나5 구스2 아이멜 엘레노아2 섀넌 로디 뮤즈2 아이다2 사라 가웨인2 레이첼 베리어스 팔만 루티스 매드람2 미첼 루키어스2 볼게이드2 = 57,000  ( 142번 )
A1KE 어빈 마일 게르드 토마스 휘리2 죠안나2 구스2 아이멜 엘레노아4 섀넌 스텔라 로디 아이다3 사라 아리아2 가웨인 베리어스 팔만 루티스 매드람 미첼 루키어스 볼게이드5 = 56,000  ( 143번 )
A1JK 어빈 게르드 휘리4 죠안나2 구스4 아이멜 엘레노아2 섀넌2 뮤즈 아이다2 사라2 아리아 가웨인2 레이첼3 베리어스2 루티스5 매드람2 루키어스2 볼게이드3 = 58,000  ( 144번 )
17Y 어빈 게르드 휘리6 죠안나3 구스2 엘레노아 섀넌3 아이다2 사라3 가웨인 레이첼2 베리어스 팔만2 미첼3 루키어스 볼게이드 아리아전무 = 55,000  ( 145번 )
A10B 마일 게르드 토마스2 토마스전무 휘리2 죠안나 구스2 아이멜3 엘레노아2 섀넌 섀넌전무 로디 아이다3 아리아2 레이첼3 베리어스 팔만 루티스 매드람2 미첼 루키어스2 볼게이드 = 58,000  ( 146번 )
1C2 마일 게르드 휘리5 죠안나 구스2 아이멜2 엘레노아2 섀넌3 뮤즈2 사라2 아리아 가웨인 레이첼 미첼 루키어스2 = 56,000  ( 147번 )
1AT 마일 마일전무 게르드 휘리5 죠안나3 구스2 아이멜2 엘레노아 섀넌2 스텔라 로디 뮤즈2 아리아 가웨인 레이첼 베리어스3 팔만 매드람 미첼 루키어스 볼게이드2 = 56,000  ( 148번 )
A1GX 마일 마일전무 게르드 휘리7 구스3 구스전무 아이멜 엘레노아 섀넌 로디 뮤즈 사라4 아리아 가웨인 레이첼5 베리어스2 베리어스전무 루티스2 미첼2 루키어스 볼게이드3 = 58,000  ( 149번 )
A1LZ 마일 토마스 휘리5 죠안나2 구스3 아이멜2 엘레노아 섀넌2 아이다 아리아2 아리아전무 팔만 루티스5 매드람 미첼3 볼게이드2 뮤즈전무 = 55,000  ( 150번 )
A1EU 마일 마일전무 게르드 휘리4 죠안나2 구스3 아이멜2 엘레노아2 섀넌 섀넌전무 알토스 로디 뮤즈 아이다3 사라3 아리아 가웨인2 베리어스 팔만 루티스 매드람 미첼 루키어스3 볼게이드2 = 57,000  ( 151번 )
1AU 마일 게르드 휘리7 구스 아이멜2 엘레노아2 섀넌2 알토스 아이다3 가웨인 레이첼2 베리어스 팔만 미첼 루키어스 볼게이드3 = 54,000  ( 152번 )

A1IN 어빈 토마스 휘리5 휘리전무 죠안나 구스2 아이멜2 엘레노아2 섀넌2 알토스 아리아 가웨인 레이첼2 베리어스2 매드람3 미첼 루키어스2 볼게이드3 = 53,000  ( 153번 )
A14Z 어빈 게르드 휘리5 휘리전무 죠안나 구스 아이멜2 섀넌5 뮤즈 사라2 아리아2 레이첼2 루티스2 매드람3 미첼 루키어스2 볼게이드 = 53,000  ( 154번 )
A1DJ 어빈 게르드 토마스 휘리2 죠안나 구스2 아이멜3 엘레노아2 섀넌3 뮤즈 아이다 사라3 아리아2 가웨인2 레이첼2 베리어스 팔만2 루티스 매드람4 미첼4 루키어스 볼게이드 = 55,000  ( 155번 )
A1DD 어빈 휘리6 죠안나2 구스3 엘레노아2 섀넌3 뮤즈3 아이다3 사라2 아리아2 가웨인 레이첼5 베리어스2 팔만2 매드람4 볼게이드 볼게이드전무 = 55,000  ( 156번 )
19Q 어빈 어빈전무2 휘리6 구스6 엘레노아 섀넌 뮤즈 아이다 사라 아리아3 가웨인2 레이첼 베리어스 팔만3 루티스 매드람2 미첼 루키어스2 볼게이드 = 52,000  ( 157번 )
A1DC 어빈 토마스 휘리5 죠안나 구스3 아이멜2 섀넌3 알토스 스텔라 로디 뮤즈 아이다4 사라 아리아2 가웨인2 레이첼 베리어스3 팔만 루티스2 매드람3 루키어스2 볼게이드2 = 55,000  ( 158번 )
A1EV 마일 게르드 휘리5 죠안나2 구스3 아이멜2 엘레노아 섀넌 섀넌전무 스텔라 로디 뮤즈 아이다 사라 아리아 가웨인 레이첼 베리어스 팔만3 루티스3 미첼2 루키어스 = 53,000  ( 159번 )
A1IC 마일 휘리5 구스8 아이멜2 알토스 아이다 사라3 아리아2 가웨인 레이첼 베리어스2 팔만 루티스2 매드람 미첼3 루키어스 볼게이드2 = 53,000  ( 160번 )

A1EL 어빈 마일 토마스 휘리2 죠안나2 구스3 아이멜3 섀넌3 뮤즈3 아이다3 사라3 아리아 가웨인2 베리어스4 루티스2 매드람2 미첼 루키어스2 볼게이드 = 54,000  ( 161번 )
A1GD 어빈 어빈전무 게르드 휘리4 휘리전무 죠안나4 구스2 아이멜 엘레노아 섀넌2 알토스 로디 뮤즈3 사라2 아리아4 가웨인2 레이첼 베리어스 팔만 루티스4 미첼4 루키어스3 = 54,000  ( 162번 )
18P 어빈 토마스 휘리4 구스4 구스전무 아이멜3 엘레노아2 알토스 로디 뮤즈2 아이다 사라2 아리아2 가웨인2 레이첼 베리어스 팔만 매드람 미첼 루키어스4 볼게이드 = 52,000  ( 163번 )
A1M1 어빈 어빈전무2 게르드 휘리5 죠안나2 구스2 아이멜2 엘레노아 섀넌 알토스 로디2 뮤즈 사라 가웨인3 레이첼2 레이첼전무 베리어스2 팔만 루티스 매드람 루키어스2 = 50,000  ( 164번 )
A1EB 어빈 어빈전무 게르드 휘리2 죠안나4 구스4 구스전무 아이멜 엘레노아 섀넌2 로디 뮤즈3 사라 아리아3 가웨인 레이첼 베리어스3 팔만2 루티스2 매드람 루키어스 = 51,000  ( 165번 )
A1IA 어빈 마일 휘리4 죠안나 구스 아이멜4 엘레노아 섀넌3 알토스 로디 뮤즈 아이다 사라 아리아 가웨인2 레이첼 베리어스2 팔만3 루키어스전무 볼게이드전무 = 49,000  ( 166번 )
18D 어빈 토마스 휘리5 죠안나2 구스 아이멜2 엘레노아2 섀넌2 로디2 뮤즈3 가웨인3 레이첼 베리어스 팔만 루티스 매드람 볼게이드3 루키어스전무 = 49,000  ( 167번 )
A1L3 마일 휘리6 휘리전무 죠안나 구스2 아이멜2 엘레노아2 섀넌2 스텔라 뮤즈 아이다2 사라 아리아2 가웨인2 루티스 매드람 미첼2 루키어스 볼게이드2 = 51,000  ( 168번 )
A1IF 마일 게르드2 휘리4 죠안나 구스4 아이멜 엘레노아 섀넌 아이다4 사라 아리아5 레이첼2 베리어스 팔만 = 50,000  ( 169번 )
A1FZ 마일 게르드 게르드전무 휘리2 죠안나2 구스3 아이멜 엘레노아3 섀넌3 스텔라 로디3 아이다2 사라 아리아2 가웨인2 가웨인전무 레이첼 베리어스 팔만3 루티스3 매드람 미첼3 볼게이드2 뮤즈전무 = 52,000  ( 170번 )
1A8 마일 휘리6 휘리전무 죠안나2 구스2 엘레노아2 섀넌3 뮤즈 아이다3 아리아 가웨인 레이첼 팔만2 루티스 매드람 미첼2 루키어스 볼게이드 = 49,000  ( 171번 )
190 마일 휘리7 구스4 구스전무 아이멜 엘레노아 섀넌 로디2 아이다 사라7 아리아2 가웨인3 레이첼 베리어스2 팔만 루티스 매드람 루키어스6 볼게이드3 = 54,000  ( 172번 )

A1DM 어빈 마일 게르드 휘리2 휘리전무 죠안나2 구스3 아이멜 엘레노아2 섀넌2 알토스 뮤즈4 아이다2 사라 가웨인 레이첼 베리어스 팔만2 루티스2 매드람 미첼4 = 50,000  ( 173번 )
A1ER 어빈 휘리4 휘리전무 죠안나3 구스3 구스전무 아이멜2 섀넌3 뮤즈2 아이다3 사라2 가웨인3 레이첼4 매드람3 미첼 루키어스2 볼게이드 = 50,000  ( 174번 )
A1DU 어빈 게르드 휘리6 죠안나 구스4 아이멜2 로디 뮤즈 아이다2 아리아2 가웨인3 레이첼2 베리어스2 팔만3 루티스 매드람 미첼 루키어스 볼게이드2 = 49,000  ( 175번 )
18W 어빈 마일 휘리5 죠안나3 구스2 엘레노아2 섀넌2 로디2 뮤즈 아이다2 사라2 가웨인3 레이첼 베리어스3 팔만 루티스 루키어스 볼게이드3 = 49,000  ( 176번 )
1BK 어빈 휘리8 죠안나 구스3 구스전무 아이멜 섀넌 스텔라 로디 뮤즈2 뮤즈전무 아이다3 사라2 아리아 가웨인 레이첼 팔만 루티스3 미첼2 루키어스2 볼게이드 마일전무 = 50,000  ( 177번 )
A1DI 어빈 마일 휘리3 휘리전무 죠안나 구스5 아이멜2 엘레노아2 로디2 뮤즈 아리아2 가웨인 레이첼2 베리어스2 팔만4 루티스 매드람3 미첼2 볼게이드2 = 49,000  ( 178번 )
A1CR 어빈 마일 토마스 휘리2 죠안나2 구스2 구스전무 아이멜 엘레노아4 섀넌 로디2 뮤즈5 아이다3 사라 아리아 가웨인2 레이첼4 팔만 미첼3 루키어스2 볼게이드전무 = 51,000  ( 179번 )
100 어빈 마일 휘리4 휘리전무 죠안나4 구스 아이멜2 엘레노아2 섀넌 뮤즈2 아이다 사라3 아리아 가웨인2 레이첼 루티스 매드람 루키어스2 볼게이드전무 = 47,000  ( 180번 )
A1D6 어빈 게르드2 휘리4 죠안나 구스4 구스전무 엘레노아2 로디 뮤즈3 사라 아리아2 베리어스2 팔만3 매드람3 루키어스 아이다전무 = 48,000  ( 181번 )
A1FW 어빈 마일 휘리5 죠안나2 구스2 아이멜 아이멜전무 엘레노아 섀넌2 아이다2 사라 가웨인3 베리어스3 매드람2 미첼2 루키어스 볼게이드 = 46,000  ( 182번 )
194 마일 마일전무 게르드 휘리3 죠안나 구스4 아이멜 엘레노아2 섀넌2 로디 뮤즈 아이다2 사라2 가웨인 베리어스 매드람 미첼2 루키어스3 볼게이드 = 48,000  ( 183번 )
A172 마일 게르드2 휘리 죠안나2 구스3 구스전무 아이멜 섀넌5 뮤즈2 아이다2 사라 아리아2 가웨인3 레이첼3 베리어스 팔만2 루티스3 매드람3 미첼5 = 50,000  ( 184번 )
17J 마일 게르드 휘리5 죠안나2 구스2 구스전무 아이멜 엘레노아 섀넌2 스텔라 로디 뮤즈3 아이다3 아리아4 팔만2 매드람 미첼2 루키어스3 볼게이드 = 48,000  ( 185번 )
A1NJ 마일 휘리5 죠안나3 구스3 구스전무 아이멜 엘레노아2 섀넌 알토스 로디2 뮤즈 아이다 사라 아리아2 가웨인3 레이첼 루티스 루키어스 볼게이드 토마스전무 = 47,000  ( 186번 )

A1F1 어빈 게르드 휘리7 죠안나2 구스 아이멜 엘레노아 섀넌 알토스 뮤즈 아이다2 사라2 가웨인 레이첼3 팔만 루티스2 매드람3 미첼 루키어스 볼게이드3 = 47,000  ( 187번 )
A1EW 어빈 게르드 휘리2 죠안나3 구스2 아이멜2 엘레노아3 섀넌2 알토스 스텔라 로디 뮤즈2 아이다 아리아2 베리어스 팔만 루티스2 매드람 미첼3 루키어스 볼게이드 = 45,000  ( 188번 )
A1HI 어빈 휘리5 죠안나 구스3 아이멜2 엘레노아 엘레노아전무 섀넌2 알토스 로디 뮤즈 아이다 사라 아리아2 가웨인 레이첼2 베리어스2 팔만2 루티스3 매드람2 미첼2 루키어스2 볼게이드 = 46,000  ( 189번 )
17K 어빈 토마스 휘리3 죠안나 구스3 아이멜 엘레노아2 섀넌3 알토스 뮤즈 아이다2 사라 아리아3 가웨인 레이첼 베리어스3 팔만2 미첼3 루키어스3 볼게이드 마일전무 = 45,000  ( 190번 )
182 어빈 마일 휘리4 죠안나3 구스2 구스전무 아이멜 엘레노아 섀넌2 뮤즈 사라2 아리아 레이첼3 베리어스 팔만3 매드람 미첼 볼게이드 = 44,000  ( 191번 )
18T 어빈 마일 게르드 휘리4 죠안나 구스2 아이멜 엘레노아 섀넌2 뮤즈3 아이다3 사라2 사라전무 아리아2 가웨인 레이첼2 팔만 루티스 매드람3 미첼3 루키어스4 볼게이드 = 47,000  ( 192번 )
A1H6 마일 마일전무 휘리4 죠안나 구스3 아이멜2 엘레노아2 섀넌2 스텔라 로디 뮤즈2 아이다2 사라 아리아 가웨인5 레이첼 베리어스5 팔만 루티스2 매드람 미첼 볼게이드 = 46,000  ( 193번 )
184 마일 마일전무 게르드 토마스 휘리3 죠안나2 구스2 아이멜3 엘레노아 로디3 뮤즈 아이다 사라2 레이첼 팔만3 루티스 루키어스 볼게이드3 = 44,000  ( 194번 )

A1LL 어빈 휘리4 죠안나3 구스3 아이멜2 엘레노아2 섀넌 스텔라 로디 아이다2 사라2 가웨인 레이첼 베리어스2 매드람2 볼게이드 = 43,000  ( 195번 )
A1IB 어빈 토마스2 토마스전무 휘리2 죠안나2 구스 아이멜 엘레노아2 섀넌3 로디 뮤즈2 아이다 사라4 가웨인2 레이첼2 팔만 루티스 루티스전무 미첼 루키어스 볼게이드2 = 43,000  ( 196번 )
A1CQ 어빈 게르드 휘리5 휘리전무2 구스2 구스전무2 아이멜 섀넌2 스텔라 로디 뮤즈 아이다2 사라3 아리아5 가웨인2 베리어스 베리어스전무 팔만3 루티스 매드람 미첼 볼게이드2 = 44,000  ( 197번 )
A1J7 어빈 휘리5 죠안나 구스2 아이멜 엘레노아2 섀넌3 로디 뮤즈 사라4 가웨인4 레이첼 베리어스 베리어스전무 팔만2 루티스 매드람 미첼 루키어스2 볼게이드 = 43,000  ( 198번 )
1BG 어빈 마일 휘리4 휘리전무 죠안나2 구스3 아이멜 섀넌2 알토스 사라2 아리아2 가웨인 레이첼2 팔만 팔만전무 매드람3 미첼2 볼게이드 = 40,000  ( 199번 )
A19I 마일 게르드 휘리2 휘리전무2 죠안나 구스2 아이멜 엘레노아3 섀넌3 아이다3 사라 가웨인2 레이첼 베리어스6 팔만3 루티스3 미첼2 루키어스3 볼게이드 볼게이드전무 = 45,000  ( 200번 )
A7YP 마일 게르드 휘리2 죠안나 구스2 아이멜3 엘레노아3 섀넌2 뮤즈2 베리어스3 팔만 루티스 매드람2 미첼2 루키어스3 볼게이드2 로디전무 = 42,000  ( 201번 )
183 마일 휘리6 죠안나 구스2 아이멜 엘레노아4 뮤즈 사라3 가웨인 레이첼 레이첼전무 베리어스 팔만 루티스 매드람4 미첼 볼게이드3 = 43,000  ( 202번 )
A10D 마일 게르드2 게르드전무 토마스 휘리2 죠안나2 구스3 섀넌2 알토스 로디2 뮤즈 사라4 사라전무 아리아3 레이첼2 팔만2 루티스2 매드람2 미첼 루키어스2 볼게이드 = 44,000  ( 203번 )
A1GQ 마일 게르드 휘리5 죠안나 구스3 엘레노아2 섀넌 스텔라 뮤즈2 아이다2 사라2 아리아2 가웨인2 베리어스2 팔만 루티스 미첼4 루키어스 볼게이드3 = 43,000  ( 204번 )
189 마일 게르드 휘리6 휘리전무 죠안나3 구스2 아이멜 로디 뮤즈 아이다2 아이다전무 아리아4 레이첼2 베리어스2 팔만2 루티스 매드람2 미첼 루키어스2 = 42,000  ( 205번 )
1B3 마일 게르드2 휘리3 죠안나2 구스2 아이멜 엘레노아 섀넌2 알토스 아이다 사라 아리아3 베리어스 매드람3 = 39,000  ( 206번 )

A1JF 어빈 토마스 휘리6 휘리전무 구스2 아이멜2 섀넌 뮤즈3 아이다2 사라 아리아2 레이첼3 베리어스 팔만3 볼게이드3 가웨인전무 = 41,000  ( 207번 )
A5YR 어빈 토마스 휘리6 휘리전무 죠안나3 구스 엘레노아2 스텔라2 로디 뮤즈3 아리아 가웨인 레이첼 팔만3 루티스2 매드람 미첼2 루키어스2 볼게이드 = 41,000  ( 208번 )
A1KY 어빈 휘리3 휘리전무 죠안나 구스2 구스전무 아이멜3 엘레노아 섀넌3 뮤즈3 아이다2 사라3 아리아 가웨인4 루티스2 매드람5 루키어스3 = 42,000  ( 209번 )
186 어빈 휘리4 죠안나2 구스3 아이멜3 엘레노아 섀넌 알토스 아이다4 사라 아리아2 가웨인3 베리어스 루티스3 매드람 미첼 = 40,000  ( 210번 )
170 어빈 휘리7 죠안나 구스2 아이멜 엘레노아 섀넌 로디 뮤즈4 아이다 사라2 아리아 가웨인 베리어스 팔만5 팔만전무 루티스2 매드람 미첼 볼게이드3 = 41,000  ( 211번 )
13E 어빈 휘리3 죠안나2 구스3 구스전무2 아이멜2 엘레노아3 뮤즈3 아이다5 사라 아리아 가웨인4 레이첼 베리어스 팔만 루티스3 미첼2 볼게이드 = 41,000  ( 212번 )
A1GL 마일 휘리8 죠안나 구스2 섀넌2 로디 뮤즈 아이다 사라 아리아4 가웨인 레이첼3 베리어스4 미첼2 볼게이드 = 40,000  ( 213번 )
A1LM 마일 휘리5 죠안나3 구스2 엘레노아3 섀넌 로디 뮤즈2 아이다3 사라3 가웨인2 레이첼 베리어스2 팔만3 루티스5 루키어스2 = 41,000  ( 214번 )
A1MW 마일 토마스 휘리6 구스3 엘레노아 섀넌 아이다4 사라 아리아3 가웨인2 레이첼 팔만 루티스2 미첼2 루키어스3 볼게이드 = 39,000  ( 215번 )

12U 어빈 휘리4 휘리전무 죠안나 구스2 아이멜3 엘레노아3 스텔라 로디 뮤즈 사라2 가웨인4 레이첼2 베리어스2 팔만 루티스 매드람2 미첼2 루키어스2 볼게이드2 = 39,000  ( 216번 )
17U 어빈 토마스2 휘리2 휘리전무 죠안나3 구스2 엘레노아 섀넌2 로디 뮤즈2 아이다 사라3 아리아5 가웨인2 레이첼4 베리어스2 팔만2 루티스2 매드람 미첼4 루키어스2 = 40,000  ( 217번 )
A1L0 마일 게르드 휘리5 구스4 아이멜 엘레노아 알토스 뮤즈 아이다 아리아2 가웨인2 가웨인전무 레이첼 베리어스2 루티스2 매드람 미첼3 루키어스 = 38,000  ( 218번 )
A15D 마일 게르드 휘리3 죠안나 구스 아이멜3 엘레노아2 섀넌2 로디 뮤즈4 아이다2 사라3 아리아3 가웨인2 팔만 루티스2 매드람2 = 40,000  ( 219번 )
10I 마일 게르드2 휘리4 휘리전무 죠안나 구스 구스전무2 아이멜 아이멜전무 엘레노아 알토스 스텔라 로디2 뮤즈 아이다2 사라3 아리아 가웨인2 레이첼2 베리어스 팔만2 루티스 매드람2 미첼2 = 40,000  ( 220번 )
A1FG 마일 게르드2 휘리3 죠안나 구스3 엘레노아 섀넌2 로디 뮤즈2 아이다 사라 팔만2 매드람 미첼 루키어스4 볼게이드2 아이멜전무 가웨인전무 = 38,000  ( 221번 )
A1M5 마일 게르드 휘리4 구스4 아이멜 엘레노아 섀넌 아리아 가웨인 레이첼4 베리어스 팔만2 루티스4 매드람2 미첼 루키어스 볼게이드 = 37,000  ( 222번 )
133 마일 게르드 게르드전무 휘리4 죠안나 구스 아이멜2 엘레노아 섀넌2 스텔라 뮤즈2 아이다 사라2 레이첼 베리어스 루티스 매드람3 미첼2 루키어스3 볼게이드2 = 37,000  ( 223번 )
A1H5 마일 토마스 휘리3 휘리전무 죠안나 구스2 엘레노아2 섀넌3 스텔라 로디2 뮤즈 아이다 사라 아리아 가웨인2 레이첼5 베리어스 팔만 루티스2 매드람 미첼2 볼게이드 = 37,000  ( 224번 )
A7Z6 마일 마일전무2 게르드 휘리4 구스2 엘레노아3 섀넌 알토스 로디 아리아2 가웨인2 팔만 루티스3 미첼 루키어스 볼게이드2 = 35,000  ( 225번 )

A1AL 어빈 어빈전무 휘리3 구스5 구스전무2 엘레노아 섀넌2 스텔라 아이다3 사라3 가웨인5 가웨인전무 레이첼 베리어스2 팔만 루티스 매드람2 루키어스3 = 37,000  ( 226번 )
1C8 어빈 어빈전무 게르드 토마스 휘리2 죠안나 구스3 아이멜 엘레노아2 아이다 사라2 가웨인2 베리어스2 매드람2 루키어스 루키어스전무 볼게이드2 = 33,000  ( 227번 )
A1ME 어빈 휘리3 휘리전무 구스4 아이멜 엘레노아2 섀넌2 로디 뮤즈 아이다 사라 가웨인 팔만3 루티스 미첼2 볼게이드전무 = 33,000  ( 228번 )
A1D7 어빈 휘리5 구스4 아이멜 엘레노아2 알토스 로디 뮤즈 아이다3 사라2 사라전무 아리아 가웨인 레이첼 베리어스 팔만2 루티스3 매드람 = 35,000  ( 229번 )
A1LC 어빈 게르드 토마스 휘리5 휘리전무 구스2 아이멜 로디 뮤즈 아이다 사라 아리아2 가웨인 레이첼 베리어스3 팔만 루티스 매드람5 미첼2 루키어스3 볼게이드 = 35,000  ( 230번 )
A107 마일 게르드 게르드전무 휘리4 죠안나2 구스 구스전무2 아이멜2 엘레노아 뮤즈 사라 아리아 가웨인 레이첼2 베리어스2 팔만 루티스3 매드람3 미첼2 볼게이드3 루키어스전무 = 35,000  ( 231번 )
A1IT 마일 마일전무 휘리3 죠안나3 구스3 아이멜2 엘레노아 섀넌 로디2 사라3 아리아3 가웨인 레이첼2 베리어스 팔만 루티스2 매드람 미첼2 루키어스2 볼게이드 = 36,000  ( 232번 )
A1H9 마일 게르드 휘리4 죠안나 구스 아이멜3 엘레노아 섀넌 알토스 뮤즈 아이다3 사라 레이첼2 레이첼전무 베리어스2 팔만2 루티스 매드람2 미첼3 루키어스2 볼게이드 = 35,000  ( 233번 )
19P 마일 휘리4 죠안나3 구스4 아이멜 엘레노아 뮤즈 사라5 아리아2 가웨인 레이첼 베리어스2 팔만 루티스 매드람 루키어스 볼게이드전무 = 34,000  ( 234번 )

16Z 어빈 휘리3 죠안나2 구스2 아이멜 엘레노아2 섀넌3 로디 뮤즈 아이다3 아리아 가웨인2 레이첼2 베리어스 루티스2 미첼3 = 33,000  ( 235번 )
A1CH 어빈 마일 휘리3 죠안나2 구스2 아이멜 엘레노아 섀넌2 뮤즈 아이다 아리아2 가웨인2 레이첼2 베리어스 팔만5 루티스 매드람 루키어스2 사라전무 = 32,000  ( 236번 )
18K 어빈 휘리5 죠안나 구스2 아이멜 엘레노아 섀넌2 스텔라 로디 아이다2 사라2 아리아 레이첼 베리어스2 팔만 매드람 미첼2 볼게이드 = 32,000  ( 237번 )
A1BM 마일 게르드 토마스 휘리4 죠안나 구스 아이멜2 엘레노아 아이다 사라2 아리아6 레이첼2 베리어스 팔만3 루티스3 매드람 미첼3 볼게이드 = 34,000  ( 238번 )
A1GZ 마일 게르드 게르드전무 휘리3 휘리전무 죠안나3 구스2 구스전무 아이멜 엘레노아 알토스 로디 뮤즈4 사라2 아리아 가웨인2 레이첼2 베리어스2 루티스 매드람2 미첼 루키어스 볼게이드3 = 35,000  ( 239번 )
